OTU_ID	Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec28	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wkrec37	NoAbx6wkrec38	NoAbx6wkrec39	NoAbx6wkrec40	NoAbx6wkrec41	NoAbx6wkrec42	NoAbx6wkrec43	NoAbx6wkrec44
333053	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
174071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
275947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
263337	0	0	0	0	0	0	3	4	0	0	1	2	3	0	0	1	0	2	1	0	0	2	2	0	0	1	0	0	2
3176547	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
1902400	0	0	0	0	0	0	2	0	0	0	1	2	5	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2
164308	0	0	0	0	0	0	2	2	2	0	2	0	19	9	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
263705	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
293754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
261992	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
274075	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
375106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
197126	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
